ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
STUB,8.55,7.88,6.73,8.5,18019369,3580900,5.03,7.72,11.12,9.68,3.1,14.59,7.42,True,15.31,88,A,CLEAN,🟢
KLAR,16.47,15.1,13.24,9.07,27144614,4702475,5.77,14.8,21.41,10.15,2.96,12.32,14.41,True,14.3,84,B+,SOLID,🟡
F,14.48,13.94,11.46,3.87,185040280,51141050,3.62,13.66,18.82,5.65,5.31,17.79,12.45,True,16.28,79,B+,SOLID,🟡
SAIL,13.18,12.73,11.08,3.53,5600727,2553495,2.19,12.48,17.13,5.35,5.61,12.96,11.94,True,10.34,77,B+,SOLID,🟡
KNX,68.03,66.58,59.34,2.18,13708905,3796955,3.61,65.25,88.44,4.09,7.34,10.87,63.87,True,6.51,76,B+,SOLID,🟡
VSNT,44.43,43.06,38.36,3.18,4695063,1897645,2.47,42.2,57.76,5.02,5.97,10.92,40.61,True,9.39,73,B,SOLID,🟡
LUMN,10.34,10.03,8.15,3.09,28377123,13408320,2.12,9.83,13.44,4.94,6.08,18.74,8.98,True,15.11,73,B,SOLID,🟡
ONDS,11.21,11.07,8.65,1.26,243177512,53014880,4.59,10.85,14.57,3.22,9.31,21.86,10.0,True,12.15,72,B,SOLID,🟡
FPS,50.19,46.1,34.02,8.87,10563125,4359205,2.42,45.18,65.25,9.99,3.0,26.2,39.02,True,28.64,65,C+,MARGINAL,🟠
PCT,12.39,10.39,6.99,19.25,15393242,3935390,3.91,10.18,16.11,17.82,1.68,32.72,8.13,True,52.45,64,C+,MARGINAL,🟠
FRMI,7.37,6.22,4.72,18.49,56463131,19901070,2.84,6.1,9.58,17.29,1.73,24.12,5.52,True,33.51,64,C+,MARGINAL,🟠
RDW,13.99,12.87,8.3,8.7,63595271,29754610,2.14,12.61,18.19,9.85,3.05,35.51,10.22,True,36.88,62,C+,MARGINAL,🟠
