ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
ROIV,32.41,29.8,27.52,8.76,16739845,5747685,2.91,29.2,42.13,9.89,3.03,7.65,28.65,True,13.14,83,B+,SOLID,🟡
IMVT,35.56,30.16,25.75,17.9,19556846,1413455,13.84,29.56,46.23,16.88,1.78,14.62,28.33,True,25.52,81,B+,SOLID,🟡
LPG,47.72,43.09,37.79,10.74,1532864,460110,3.33,42.23,62.04,11.51,2.61,12.3,40.03,True,19.2,78,B+,SOLID,🟡
TE,8.7,7.18,4.65,21.17,103629698,21671850,4.78,7.04,11.31,19.12,1.57,35.25,5.71,True,52.32,65,C+,MARGINAL,🟠
RXO,23.85,23.37,16.75,2.05,6354001,2745020,2.31,22.9,31.01,3.97,7.55,28.33,19.87,True,20.01,63,C+,MARGINAL,🟠
