ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
KLAR,16.14,15.1,13.24,6.85,23814437,4701210,5.07,14.8,20.98,8.29,3.62,12.32,14.39,True,12.11,88,A,CLEAN,🟢
STUB,8.56,7.88,6.73,8.57,14687647,3577510,4.11,7.72,11.12,9.73,3.08,14.59,7.42,True,15.37,86,A,CLEAN,🟢
F,14.4,13.94,11.46,3.34,159261922,51127390,3.12,13.66,18.73,5.16,5.81,17.79,12.45,True,15.71,79,B+,SOLID,🟡
ONDS,11.55,11.07,8.65,4.29,209815273,52979105,3.96,10.85,15.01,6.03,4.97,21.86,10.01,True,15.31,74,B,SOLID,🟡
KNX,68.01,66.58,59.34,2.15,11105985,3796955,2.92,65.25,88.41,4.06,7.39,10.87,63.87,True,6.48,73,B,SOLID,🟡
FRMI,7.03,6.22,4.72,13.1,50629076,19891260,2.55,6.1,9.15,13.35,2.25,24.12,5.5,True,27.83,67,C+,MARGINAL,🟠
FPS,50.14,46.1,34.02,8.76,8881782,4357555,2.04,45.18,65.18,9.9,3.03,26.2,39.01,True,28.52,65,C+,MARGINAL,🟠
PCT,12.14,10.39,6.99,16.79,12693967,3935335,3.23,10.18,15.78,16.09,1.86,32.72,8.11,True,49.54,64,C+,MARGINAL,🟠
