ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
FLYW,17.42,14.58,13.1,19.48,7638894,1834660,4.16,14.29,22.65,17.98,1.67,10.15,13.52,True,28.87,79,B+,SOLID,🟡
DOC,19.62,17.43,15.7,12.56,18592234,7745220,2.4,17.08,25.51,12.94,2.32,9.93,16.73,True,17.3,76,B+,SOLID,🟡
SMCI,33.15,29.94,25.46,10.7,84524472,31168680,2.71,29.34,43.09,11.48,2.61,14.96,27.65,True,19.88,75,B+,SOLID,🟡
GEO,22.95,19.33,17.54,18.73,3503528,1483325,2.36,18.94,29.84,17.46,1.72,9.26,18.65,True,23.05,73,B,SOLID,🟡
COMP,9.44,8.35,7.01,13.11,26736034,12476960,2.14,8.18,12.28,13.36,2.25,16.05,7.65,True,23.39,68,C+,MARGINAL,🟠
VECO,60.91,53.43,41.87,14.0,4269714,1436045,2.97,52.36,79.18,14.03,2.14,21.64,47.1,True,29.31,67,C+,MARGINAL,🟠
WOLF,42.5,40.25,24.0,5.59,11753198,5014760,2.34,39.45,55.25,7.19,4.17,40.37,28.54,True,48.9,62,C+,MARGINAL,🟠
