ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
D,67.56,65.61,61.04,2.97,39863468,4730230,8.43,64.3,87.83,4.83,6.21,6.97,62.75,True,7.66,89,A,CLEAN,🟢
YPF,47.48,45.79,41.63,3.69,5647398,1757770,3.21,44.87,61.72,5.49,5.47,9.08,43.89,True,8.18,83,B+,SOLID,🟡
RAMP,37.77,30.94,27.73,22.07,13085384,499515,26.2,30.32,49.1,19.72,1.52,10.37,29.9,True,26.32,81,B+,SOLID,🟡
HIVE,3.46,3.13,2.19,10.54,108451479,15906690,6.82,3.07,4.5,11.35,2.64,30.03,2.69,True,28.79,73,B,SOLID,🟡
BRC,84.43,83.14,70.57,1.55,1020363,324840,3.14,81.48,109.76,3.5,8.58,15.12,79.72,True,5.91,72,B,SOLID,🟡
STUB,9.33,9.17,6.89,1.74,9389376,4572585,2.05,8.99,12.13,3.68,8.15,24.81,7.63,True,22.26,66,C+,MARGINAL,🟠
