ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
D,67.56,65.61,61.04,2.97,40083800,4730330,8.47,64.3,87.83,4.83,6.21,6.97,62.75,True,7.66,89,A,CLEAN,🟢
YPF,47.48,45.79,41.63,3.69,5811100,1757815,3.31,44.87,61.72,5.49,5.47,9.08,43.89,True,8.18,83,B+,SOLID,🟡
RAMP,37.77,30.94,27.73,22.07,13094800,499515,26.22,30.32,49.1,19.72,1.52,10.37,29.9,True,26.32,81,B+,SOLID,🟡
TE,7.0,6.58,4.59,6.38,86504600,15378870,5.62,6.45,9.1,7.88,3.81,30.17,5.46,True,28.29,77,B+,SOLID,🟡
HIVE,3.46,3.13,2.19,10.54,110673400,15908410,6.96,3.07,4.5,11.35,2.64,30.03,2.69,True,28.79,73,B,SOLID,🟡
BRC,84.43,83.14,70.57,1.55,1026100,324840,3.16,81.48,109.76,3.5,8.58,15.12,79.72,True,5.91,72,B,SOLID,🟡
SAIL,14.59,13.89,11.08,5.04,6288000,2811570,2.24,13.61,18.97,6.7,4.48,20.23,12.16,True,19.96,68,C+,MARGINAL,🟠
VOYG,38.38,36.56,24.82,4.98,3610400,1767990,2.04,35.83,49.89,6.65,4.51,32.11,29.54,True,29.93,65,C+,MARGINAL,🟠
