ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
INFQ,14.7,14.33,10.32,2.58,74788178,8854280,8.45,14.04,19.11,4.47,6.72,27.98,12.56,True,17.02,78,B+,SOLID,🟡
RGTI,22.04,21.02,15.46,4.85,143132809,26954275,5.31,20.6,28.65,6.54,4.59,26.45,18.04,True,22.14,77,B+,SOLID,🟡
QBTS,25.74,24.78,17.74,3.87,114599943,25825470,4.44,24.28,33.46,5.66,5.31,28.43,20.89,True,23.19,76,B+,SOLID,🟡
GFS,81.35,76.98,63.36,5.68,10758007,4530415,2.37,75.44,105.75,7.26,4.13,17.69,69.33,True,17.33,72,B,SOLID,🟡
AAL,13.59,13.37,11.63,1.65,107938832,53207955,2.03,13.1,17.67,3.59,8.36,13.01,12.4,True,9.56,70,B,SOLID,🟡
