ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
CECO,74.29,67.68,61.03,9.77,2682521,425085,6.31,66.33,96.58,10.72,2.8,9.83,64.03,True,16.03,88,A,CLEAN,🟢
OMCL,45.51,39.51,33.78,15.19,2168436,424245,5.11,38.72,59.16,14.92,2.01,14.5,36.42,True,24.97,84,B+,SOLID,🟡
KNSA,53.85,49.87,41.49,7.98,3001990,689925,4.35,48.87,70.0,9.24,3.25,16.8,46.33,True,16.23,82,B+,SOLID,🟡
LFST,7.67,7.49,6.3,2.4,7739871,1692245,4.57,7.34,9.97,4.3,6.98,15.89,6.7,True,14.5,80,B+,SOLID,🟡
BEN,29.46,28.28,24.59,4.17,11369893,4774540,2.38,27.71,38.3,5.93,5.06,13.05,25.93,True,13.61,80,B+,SOLID,🟡
NWBI,14.16,13.75,13.11,2.98,2217888,1070885,2.07,13.47,18.41,4.84,6.2,4.65,13.33,True,6.26,77,B+,SOLID,🟡
CNC,49.57,44.12,36.42,12.35,17187065,5172970,3.32,43.24,64.44,12.77,2.35,17.45,38.38,True,29.17,74,B,SOLID,🟡
AXGN,41.99,39.99,31.75,5.0,2699198,1187365,2.27,39.19,54.59,6.67,4.5,20.61,35.52,True,18.2,68,C+,MARGINAL,🟠
PII,66.47,63.02,47.14,5.47,4185368,1880730,2.23,61.76,86.41,7.09,4.23,25.2,56.86,True,16.91,65,C+,MARGINAL,🟠
SEI,74.44,74.05,58.99,0.53,4472471,2225785,2.01,72.57,96.77,2.51,11.94,20.34,63.62,True,17.01,62,C+,MARGINAL,🟠
OGN,13.32,13.24,5.82,0.6,35144172,15598825,2.25,12.98,17.32,2.59,11.59,56.04,8.57,True,55.44,56,C,MARGINAL,🟠
