ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
MBLY,8.7,8.18,7.05,6.36,22461929,6855110,3.28,8.02,11.31,7.86,3.82,13.81,7.46,True,16.65,82,B+,SOLID,🟡
PENN,17.26,16.49,14.16,4.67,11288291,3592665,3.14,16.16,22.44,6.37,4.71,14.13,15.27,True,13.06,82,B+,SOLID,🟡
EQPT,24.53,24.04,18.8,2.04,5044694,1667120,3.03,23.56,31.89,3.96,7.58,21.8,20.8,True,17.93,72,B,SOLID,🟡
NKLR,7.72,7.48,4.2,3.21,1491251,547955,2.72,7.33,10.04,5.05,5.94,43.78,5.3,True,45.78,66,C+,MARGINAL,🟠
SKLZ,12.45,4.49,2.41,177.28,29163075,174400,167.22,4.4,16.18,64.66,0.46,46.21,3.41,True,265.21,64,C+,MARGINAL,🟠
OBE,12.77,12.48,8.55,2.32,2520595,1124520,2.24,12.23,16.6,4.23,7.1,31.49,9.88,True,29.28,63,C+,MARGINAL,🟠
INV,6.9,6.43,3.86,7.31,3559741,1624795,2.19,6.3,8.97,8.68,3.46,39.97,4.73,True,45.88,62,C+,MARGINAL,🟠
KEEL,3.24,3.1,1.84,4.52,64186179,31778185,2.02,3.04,4.21,6.23,4.81,40.65,2.4,True,35.25,62,C+,MARGINAL,🟠
