ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
D,67.23,65.61,61.04,2.47,25528874,4730230,5.4,64.3,87.4,4.36,6.88,6.97,62.73,True,7.17,86,A,CLEAN,🟢
RAMP,37.76,30.94,27.73,22.04,10246715,499515,20.51,30.32,49.09,19.7,1.52,10.37,29.9,True,26.29,81,B+,SOLID,🟡
YPF,47.34,45.79,41.63,3.39,4422990,1757770,2.52,44.87,61.54,5.21,5.76,9.08,43.88,True,7.88,80,B+,SOLID,🟡
HIVE,3.43,3.13,2.19,9.58,97354314,15906690,6.12,3.07,4.46,10.57,2.84,30.03,2.68,True,27.74,73,B,SOLID,🟡
GCTS,2.36,1.95,1.25,21.17,54849591,4283705,12.8,1.91,3.07,19.12,1.57,35.9,1.51,True,56.36,67,C+,MARGINAL,🟠
BRC,83.5,83.14,70.57,0.43,667531,324840,2.05,81.48,108.55,2.42,12.38,15.12,79.67,True,4.81,55,C,MARGINAL,🟠
