ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
IDYA,31.48,29.97,27.66,5.04,2567613,781170,3.29,29.37,40.92,6.7,4.48,7.71,28.94,True,8.78,82,B+,SOLID,🟡
SRAD,15.26,14.58,12.48,4.66,6388518,2586865,2.47,14.29,19.84,6.37,4.71,14.4,13.27,True,15.04,76,B+,SOLID,🟡
TNGX,30.93,23.49,19.43,31.67,21666009,2807120,7.72,23.02,40.21,25.57,1.17,17.29,22.14,True,39.69,74,B,SOLID,🟡
INHD,41.14,1.41,1.01,2817.74,268901410,143535,1873.42,1.38,53.48,96.64,0.31,28.37,3.3,True,1147.99,67,C+,MARGINAL,🟠
SUNE,5.88,1.53,1.09,284.31,309293687,184300,1678.21,1.5,7.64,74.5,0.4,28.76,1.57,True,274.52,67,C+,MARGINAL,🟠
