ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
LION,14.97,13.03,11.88,14.89,10485604,3769355,2.78,12.77,19.46,14.7,2.04,8.83,12.6,True,18.83,79,B+,SOLID,🟡
HPQ,25.25,22.78,20.37,10.82,45907332,15332900,2.99,22.32,32.82,11.57,2.59,10.58,21.2,True,19.07,75,B+,SOLID,🟡
INFQ,16.34,16.09,10.32,1.57,63903343,12045340,5.31,15.77,21.25,3.52,8.53,35.86,12.72,True,28.53,72,B,SOLID,🟡
QBTS,29.38,25.83,17.74,13.74,133923761,30306815,4.42,25.31,38.19,13.84,2.17,31.34,21.44,True,37.04,71,B,SOLID,🟡
RGTI,26.42,22.1,15.46,19.55,198416560,32986260,6.02,21.66,34.35,18.02,1.66,30.05,18.54,True,42.54,70,B,SOLID,🟡
EL,88.34,87.9,75.26,0.5,7279942,3532955,2.06,86.14,114.84,2.49,12.06,14.38,81.05,True,9.0,66,C+,MARGINAL,🟠
AKTX,18.27,6.59,3.02,177.24,31838547,339820,93.69,6.46,23.75,64.65,0.46,54.25,5.52,True,231.22,64,C+,MARGINAL,🟠
BB,7.9,6.73,5.36,17.38,56157873,24480425,2.29,6.6,10.27,16.51,1.82,20.36,6.03,True,31.07,61,C+,MARGINAL,🟠
