ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
HPQ,25.06,22.78,20.37,10.01,36157296,15332455,2.36,22.32,32.58,10.92,2.75,10.58,21.19,True,18.25,72,B,SOLID,🟡
INFQ,16.39,16.09,10.32,1.86,51614490,11980070,4.31,15.77,21.31,3.79,7.91,35.86,12.72,True,28.88,70,B,SOLID,🟡
RGTI,26.15,22.1,15.46,18.33,149756882,32807865,4.56,21.66,33.99,17.18,1.75,30.05,18.52,True,41.18,68,C+,MARGINAL,🟠
QBTS,29.25,25.83,17.74,13.26,106315604,30169150,3.52,25.31,38.03,13.47,2.23,31.34,21.43,True,36.5,67,C+,MARGINAL,🟠
AKTX,13.58,6.59,3.02,106.07,23516158,134170,175.27,6.46,17.65,52.44,0.57,54.25,5.28,True,157.12,64,C+,MARGINAL,🟠
