ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
MICC,14.93,14.59,12.94,2.33,6999254,1421995,4.92,14.3,19.41,4.23,7.09,11.31,13.97,True,6.85,80,B+,SOLID,🟡
SFM,81.85,77.38,69.29,5.78,5788780,1799645,3.22,75.83,106.4,7.35,4.08,10.45,75.0,True,9.13,78,B+,SOLID,🟡
GTX,25.61,21.25,18.77,20.49,7165673,1823200,3.93,20.83,33.29,18.66,1.61,11.69,19.93,True,28.5,75,B+,SOLID,🟡
VIAV,52.4,48.89,37.66,7.18,20987656,5743345,3.65,47.91,68.12,8.56,3.5,22.97,42.86,True,22.26,74,B,SOLID,🟡
AUR,5.88,5.54,4.0,6.14,59285504,18293705,3.24,5.43,7.64,7.67,3.91,27.8,4.79,True,22.76,71,B,SOLID,🟡
BHE,82.05,72.44,61.29,13.27,831947,357905,2.32,70.99,106.67,13.48,2.23,15.39,65.1,True,26.04,68,C+,MARGINAL,🟠
