ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
AD,57.04,50.28,47.01,13.45,418114,102010,4.1,49.27,74.16,13.62,2.2,6.5,49.27,True,15.79,86,A,CLEAN,🟢
PTCT,77.5,72.68,63.18,6.63,2714789,1146025,2.37,71.23,100.75,8.09,3.71,13.07,69.25,True,11.91,76,B+,SOLID,🟡
INOD,81.82,48.92,39.64,67.26,15449612,1093700,14.13,47.94,106.37,41.41,0.72,18.97,45.8,True,78.65,74,B,SOLID,🟡
WSC,27.83,23.66,20.14,17.65,5637287,2581285,2.18,23.19,36.19,16.7,1.8,14.9,21.93,True,26.92,69,C+,MARGINAL,🟠
RKLB,99.69,93.1,73.99,7.08,51190592,21683560,2.36,91.24,129.6,8.48,3.54,20.53,81.79,True,21.89,68,C+,MARGINAL,🟠
NAMS,39.15,35.35,27.85,10.75,2963268,1041685,2.84,34.64,50.9,11.51,2.61,21.22,32.06,True,22.1,67,C+,MARGINAL,🟠
FLNC,24.12,20.28,11.34,18.91,32067390,7069225,4.54,19.88,31.36,17.58,1.71,44.12,14.08,True,71.33,65,C+,MARGINAL,🟠
FROG,71.68,57.82,42.93,23.97,5385424,2406130,2.24,56.66,93.18,20.95,1.43,25.75,48.58,True,47.54,55,C,MARGINAL,🟠
