ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
EWTX,38.01,35.0,30.12,8.6,5050176,946500,5.34,34.3,49.41,9.76,3.07,13.94,32.61,True,16.57,88,A,CLEAN,🟢
CYTK,77.09,67.26,58.65,14.61,18037436,1670280,10.8,65.91,100.22,14.5,2.07,12.8,65.36,True,17.94,84,B+,SOLID,🟡
GPK,10.73,10.01,9.17,7.19,15847685,6056270,2.62,9.81,13.95,8.58,3.5,8.39,9.68,True,10.88,83,B+,SOLID,🟡
PINS,22.28,21.14,18.75,5.42,54779040,14161085,3.87,20.71,28.96,7.04,4.26,11.28,19.77,True,12.69,82,B+,SOLID,🟡
BLSH,45.34,44.05,36.36,2.93,3666235,1047690,3.5,43.17,58.94,4.79,6.27,17.46,40.31,True,12.49,79,B+,SOLID,🟡
LTH,29.38,28.91,25.94,1.63,7676751,1949390,3.94,28.33,38.19,3.57,8.41,10.27,27.53,True,6.71,76,B+,SOLID,🟡
ABEV,3.37,3.17,2.84,6.31,52288510,23949655,2.18,3.11,4.38,7.82,3.84,10.41,3.03,True,11.11,76,B+,SOLID,🟡
VVX,76.5,69.81,61.42,9.58,1063077,411400,2.58,68.41,99.45,10.57,2.84,12.02,67.31,True,13.65,75,B+,SOLID,🟡
CIFR,22.1,20.24,16.48,9.19,63443747,24760245,2.56,19.84,28.73,10.25,2.93,18.58,18.0,True,22.78,71,B,SOLID,🟡
CECO,87.78,78.59,61.03,11.69,1701849,633725,2.69,77.02,114.11,12.26,2.45,22.34,68.24,True,28.63,67,C+,MARGINAL,🟠
