ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
MXL,61.12,37.37,17.81,63.55,20918768,2338685,8.94,36.62,79.46,40.08,0.75,52.34,24.59,True,148.53,64,C+,MARGINAL,🟠
ATOM,9.31,7.32,3.92,27.34,7662292,878420,8.72,7.17,12.11,23.04,1.3,46.41,5.13,True,81.5,64,C+,MARGINAL,🟠
CEVA,28.3,25.76,18.88,9.84,839625,337275,2.49,25.24,36.78,10.78,2.78,26.71,21.51,True,31.54,61,C+,MARGINAL,🟠
POET,15.12,12.95,5.67,16.76,57918473,20813610,2.78,12.69,19.66,16.06,1.87,56.22,7.67,True,97.22,58,C,MARGINAL,🟠
OGN,10.85,9.83,5.82,10.43,15219942,7586315,2.01,9.63,14.11,11.25,2.67,40.79,7.8,True,39.14,58,C,MARGINAL,🟠
