ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
TEVA,34.72,32.81,30.02,5.82,14760222,4783790,3.09,32.15,45.14,7.39,4.06,8.5,31.2,True,11.29,86,A,CLEAN,🟢
COCO,66.01,53.34,45.85,23.75,3464849,1136295,3.05,52.27,85.81,20.81,1.44,14.04,49.88,True,32.35,72,B,SOLID,🟡
RSI,27.34,24.67,20.76,10.82,3687715,1382370,2.67,24.18,35.54,11.57,2.59,15.85,22.88,True,19.51,71,B,SOLID,🟡
EXTR,21.68,19.65,16.28,10.33,5453882,2496665,2.18,19.26,28.18,11.18,2.68,17.15,17.33,True,25.1,68,C+,MARGINAL,🟠
ETSY,69.95,66.68,52.17,4.9,5495792,2731045,2.01,65.35,90.93,6.58,4.56,21.76,59.04,True,18.48,68,C+,MARGINAL,🟠
MXL,68.93,63.52,19.18,8.51,13361853,4544585,2.94,62.25,89.6,9.69,3.1,69.8,30.66,True,124.81,65,C+,MARGINAL,🟠
CNC,54.3,49.99,36.42,8.62,11575152,5726325,2.02,48.99,70.59,9.78,3.07,27.15,39.45,True,37.63,65,C+,MARGINAL,🟠
