ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
F,13.82,12.7,11.46,8.82,181852665,42321780,4.3,12.45,17.97,9.94,3.02,9.76,12.36,True,11.79,90,A+,CLEAN,🟢
KC,17.94,17.25,14.66,4.03,3959940,1124795,3.52,16.91,23.33,5.8,5.18,15.01,16.36,True,9.69,78,B+,SOLID,🟡
VNET,11.28,9.54,8.02,18.29,60110407,5433885,11.06,9.35,14.67,17.15,1.75,15.93,8.95,True,26.14,77,B+,SOLID,🟡
BCRX,9.59,9.4,7.79,1.97,14766695,3972885,3.72,9.21,12.46,3.89,7.71,17.13,9.01,True,6.41,72,B,SOLID,🟡
MBLY,10.55,9.53,8.33,10.65,13642574,6623760,2.06,9.34,13.71,11.43,2.62,12.59,8.76,True,20.37,72,B,SOLID,🟡
OUST,34.07,30.49,23.6,11.74,13019025,3332200,3.91,29.88,44.29,12.3,2.44,22.6,27.07,True,25.86,70,B,SOLID,🟡
WOLF,63.85,53.98,25.08,18.28,31728731,6987085,4.54,52.9,83.0,17.15,1.75,53.54,35.62,True,79.26,65,C+,MARGINAL,🟠
PENG,48.99,46.75,26.91,4.79,5740016,2597315,2.21,45.81,63.69,6.48,4.63,42.44,33.49,True,46.29,62,C+,MARGINAL,🟠
VSH,38.9,35.34,26.25,10.07,9148286,4073175,2.25,34.63,50.57,10.97,2.74,25.72,29.96,True,29.85,61,C+,MARGINAL,🟠
