ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
BTSG,52.58,48.97,44.77,7.37,9408024,2098645,4.48,47.99,68.35,8.73,3.44,8.58,46.86,True,12.2,90,A+,CLEAN,🟢
CORT,51.42,47.29,41.49,8.73,3185887,1015150,3.14,46.34,66.85,9.87,3.04,12.26,44.8,True,14.77,82,B+,SOLID,🟡
GME,26.52,26.02,22.73,1.92,14149530,6937095,2.04,25.5,34.48,3.85,7.8,12.64,24.45,True,8.48,70,B,SOLID,🟡
SOUN,9.56,8.94,6.22,6.94,66564897,25637005,2.6,8.76,12.43,8.36,3.59,30.43,7.62,True,25.41,68,C+,MARGINAL,🟠
TEAM,88.88,75.95,56.72,17.02,26861949,7931820,3.39,74.43,115.54,16.26,1.85,25.32,67.91,True,30.89,64,C+,MARGINAL,🟠
