ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
INFQ,14.86,14.33,10.32,3.7,69819864,8851850,7.89,14.04,19.32,5.5,5.46,27.98,12.57,True,18.22,78,B+,SOLID,🟡
RGTI,21.34,21.02,15.46,1.52,110069294,26949335,4.08,20.6,27.74,3.47,8.66,26.45,18.01,True,18.49,73,B,SOLID,🟡
GFS,80.51,76.98,63.36,4.59,9080608,4530250,2.0,75.44,104.66,6.3,4.76,17.69,69.29,True,16.19,72,B,SOLID,🟡
QBTS,25.23,24.78,17.74,1.82,94566570,25822230,3.66,24.28,32.8,3.75,8.0,28.43,20.87,True,20.9,69,C+,MARGINAL,🟠
