ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
MBLY,8.7,8.18,7.05,6.36,22461929,6855110,3.28,8.02,11.31,7.86,3.82,13.81,7.46,True,16.65,82,B+,SOLID,🟡
PENN,17.26,16.49,14.16,4.67,11288291,3592665,3.14,16.16,22.44,6.37,4.71,14.13,15.27,True,13.06,82,B+,SOLID,🟡
CHDN,97.91,95.48,86.47,2.55,1868905,879780,2.12,93.57,127.28,4.43,6.77,9.44,89.9,True,8.91,77,B+,SOLID,🟡
EQPT,24.53,24.04,18.8,2.04,5044694,1667120,3.03,23.56,31.89,3.96,7.58,21.8,20.8,True,17.93,72,B,SOLID,🟡
GSHD,50.77,46.4,39.64,9.42,933262,406265,2.3,45.47,66.0,10.44,2.87,14.57,43.31,True,17.22,72,B,SOLID,🟡
HXL,91.32,90.58,77.71,0.82,3212125,1126620,2.85,88.77,118.72,2.79,10.74,14.21,83.49,True,9.38,69,C+,MARGINAL,🟠
NNBR,2.61,2.46,1.4,6.1,4065339,1161460,3.5,2.41,3.39,7.63,3.93,43.09,1.76,True,48.42,68,C+,MARGINAL,🟠
HELE,23.82,20.72,14.05,14.96,2053246,587030,3.5,20.31,30.97,14.75,2.03,32.19,17.0,True,40.09,67,C+,MARGINAL,🟠
NKLR,7.72,7.48,4.2,3.21,1491251,547955,2.72,7.33,10.04,5.05,5.94,43.78,5.3,True,45.78,66,C+,MARGINAL,🟠
SIGI,84.38,83.97,75.24,0.49,1417853,549140,2.58,82.29,109.69,2.48,12.12,10.4,79.21,True,6.53,66,C+,MARGINAL,🟠
APLD,36.35,34.16,22.62,6.41,51738549,23594595,2.19,33.48,47.25,7.9,3.8,33.78,27.83,True,30.62,65,C+,MARGINAL,🟠
SKLZ,12.45,4.49,2.41,177.28,29163075,174400,167.22,4.4,16.18,64.66,0.46,46.21,3.41,True,265.21,64,C+,MARGINAL,🟠
