ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
HIMX,17.62,12.54,10.68,40.51,15945261,2864895,5.57,12.29,22.91,30.25,0.99,14.83,11.49,True,53.32,78,B+,SOLID,🟡
BLBD,79.14,66.12,59.72,19.68,708621,353780,2.0,64.8,102.88,18.12,1.66,9.68,63.9,True,23.84,73,B,SOLID,🟡
FLNC,17.84,14.72,11.34,21.23,21992228,4895515,4.49,14.43,23.2,19.16,1.57,23.0,13.5,True,32.14,71,B,SOLID,🟡
FUN,22.8,20.73,17.35,9.96,3505288,1603810,2.19,20.32,29.63,10.88,2.76,16.3,19.18,True,18.85,68,C+,MARGINAL,🟠
LIFE,31.1,23.25,15.21,33.78,1160790,463385,2.51,22.79,40.44,26.75,1.12,34.58,17.75,True,75.24,58,C,MARGINAL,🟠
XMTR,77.05,57.77,44.32,33.37,1486290,647940,2.29,56.61,100.17,26.52,1.13,23.28,49.74,True,54.9,58,C,MARGINAL,🟠
