ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
F,13.57,12.7,11.46,6.85,215610834,42324315,5.09,12.45,17.64,8.28,3.62,9.76,12.35,True,9.87,88,A,CLEAN,🟢
VNET,11.28,9.54,8.02,18.24,63976116,5433885,11.77,9.35,14.66,17.12,1.75,15.93,8.95,True,26.09,77,B+,SOLID,🟡
KC,17.92,17.25,14.66,3.88,4395338,1124795,3.91,16.91,23.3,5.66,5.3,15.01,16.36,True,9.55,75,B+,SOLID,🟡
MBLY,10.53,9.53,8.33,10.49,17031103,6624985,2.57,9.34,13.69,11.31,2.65,12.59,8.76,True,20.21,75,B+,SOLID,🟡
OUST,34.17,30.49,23.6,12.07,14626439,3337860,4.38,29.88,44.42,12.55,2.39,22.6,27.07,True,26.21,74,B,SOLID,🟡
VEON,56.89,56.26,48.08,1.12,301086,105995,2.84,55.13,73.96,3.09,9.72,14.54,51.55,True,10.35,73,B,SOLID,🟡
CORT,57.08,52.98,44.24,7.74,2291830,1135165,2.02,51.92,74.2,9.04,3.32,16.5,48.72,True,17.15,72,B,SOLID,🟡
WOLF,62.6,53.98,25.08,15.97,33650550,6995615,4.81,52.9,81.38,15.49,1.94,53.54,35.56,True,76.06,65,C+,MARGINAL,🟠
VSH,38.5,35.34,26.25,8.94,11833755,4074795,2.9,34.63,50.05,10.04,2.99,25.72,29.94,True,28.6,64,C+,MARGINAL,🟠
AUR,8.4,7.64,4.79,9.95,57912392,27852590,2.08,7.49,10.92,10.87,2.76,37.3,6.01,True,39.86,58,C,MARGINAL,🟠
