ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
ATOM,8.41,7.32,3.92,14.99,19006039,878420,21.64,7.17,10.93,14.78,2.03,46.41,5.09,True,65.35,70,B,SOLID,🟡
CEVA,28.36,25.76,18.88,10.09,1048216,337275,3.11,25.24,36.87,10.98,2.73,26.71,21.51,True,31.82,67,C+,MARGINAL,🟠
MXL,59.79,37.37,17.81,59.99,24692719,2338685,10.56,36.62,77.73,38.75,0.77,52.34,24.53,True,143.78,64,C+,MARGINAL,🟠
POET,14.93,12.95,5.67,15.29,66708287,20813610,3.21,12.69,19.41,15.0,2.0,56.22,7.66,True,94.98,64,C+,MARGINAL,🟠
OGN,10.97,9.83,5.82,11.6,19733143,7586315,2.6,9.63,14.26,12.18,2.46,40.79,7.81,True,40.51,61,C+,MARGINAL,🟠
INTC,81.34,70.33,49.87,15.65,222109113,110026335,2.02,68.92,105.74,15.27,1.97,29.09,59.49,True,36.72,58,C,MARGINAL,🟠
