ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
D,67.19,65.61,61.04,2.42,27801690,4730230,5.88,64.3,87.35,4.31,6.96,6.97,62.73,True,7.11,86,A,CLEAN,🟢
RAMP,37.77,30.94,27.73,22.07,10751206,499515,21.52,30.32,49.1,19.72,1.52,10.37,29.9,True,26.32,81,B+,SOLID,🟡
YPF,47.37,45.79,41.63,3.44,4887710,1757770,2.78,44.87,61.57,5.26,5.7,9.08,43.88,True,7.93,80,B+,SOLID,🟡
HIVE,3.46,3.13,2.19,10.54,100571766,15906690,6.32,3.07,4.5,11.35,2.64,30.03,2.69,True,28.79,73,B,SOLID,🟡
GCTS,2.53,1.95,1.25,29.74,56254391,4283705,13.13,1.91,3.29,24.47,1.23,35.9,1.52,True,66.5,64,C+,MARGINAL,🟠
