ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
ASH,62.5,59.04,54.16,5.86,2555606,1042560,2.45,57.86,81.25,7.43,4.04,8.27,57.04,True,9.56,76,B+,SOLID,🟡
VECO,67.19,65.03,51.94,3.32,3858426,1204005,3.2,63.73,87.35,5.15,5.82,20.13,59.63,True,12.67,75,B+,SOLID,🟡
GLXY,32.68,31.8,24.05,2.77,12728863,5950325,2.14,31.16,42.48,4.64,6.47,24.37,29.48,True,10.85,69,C+,MARGINAL,🟠
ALHC,19.2,16.74,13.05,14.7,16311038,7133300,2.29,16.41,24.96,14.56,2.06,22.04,16.01,True,19.89,64,C+,MARGINAL,🟠
